Name,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses
facesim,simmedium,2624787837.8,3.308666666666667,53733779.733333334,10.401066666666667,516549594.06666666,32470237738.533333,30367219832.4,0.9366666666666668,13844.844666666668,240321.86666666667,13893042738.6,113045675.06666666,52192732.53333333
facesim,simsmall,2608266737.0,3.322666666666666,54467493.6,10.6046,513318180.6,32284292084.666668,30316974028.533333,0.9406666666666667,13768.098,238799.8,13877608108.8,112593921.66666667,53214064.0
fluidanimate,simlarge,1790639016.8,4.721333333333333,31270647.533333335,24.993066666666667,125275706.4,15612674031.266666,11833043061.066668,0.7593333333333334,6675.470666666666,184009.46666666667,4843003695.733334,39787480.733333334,30635254.066666666
fluidanimate,simmedium,841930998.3333334,4.556,21002590.0,20.308933333333336,103394850.8,8191634731.0,5096166490.266666,0.6233333333333333,3509.5546666666664,149439.53333333333,2226754118.4666667,37382433.733333334,20655060.4
fluidanimate,simsmall,591413700.5333333,4.364,17510682.4,21.303533333333334,82223744.4,6110319854.6,3263490980.9333334,0.5333333333333333,2620.7933333333335,139849.06666666668,1525022277.8,35994699.2,17210333.0
freqmine,simlarge,5927291432.066667,4.728,30089914.466666665,13.206733333333334,229286295.13333333,34690277118.46667,34856723394.666664,1.0046666666666666,14767.516666666666,190526.06666666668,18329712276.133335,49244800.06666667,29310433.8
freqmine,simmedium,2045491723.0,4.618666666666667,21631751.733333334,16.269933333333334,133061097.0,13069119599.0,10686147973.066668,0.8186666666666667,5580.642666666667,161589.26666666666,5380758006.2,40450158.4,21182197.8
freqmine,simsmall,867671413.3333334,4.105333333333333,18116067.133333333,18.441399999999998,98285897.53333333,6724462136.2,3954350536.6666665,0.5873333333333333,2882.886,147742.26666666666,1973059002.2,37045572.6,17641632.4
streamcluster,simlarge,1215282427.0,1.6113333333333335,91788334.6,21.467133333333333,427549842.06666666,32906201417.333332,21089411339.733334,0.6406666666666666,14031.192666666668,140468.8,9762319457.866667,39167508.0,90471908.2
streamcluster,simmedium,663883228.3333334,2.5473333333333334,35497558.8,21.2776,166711613.0,10375714341.266666,6172423183.2,0.5953333333333333,4438.152666666666,137859.33333333334,2996240286.8,36046392.6,34745345.733333334
streamcluster,simsmall,510699726.26666665,3.0300000000000002,16272058.8,16.92,96165318.46666667,5581621608.066667,3005217490.0666666,0.5393333333333333,2400.016666666667,136688.8,1417531248.8,34997836.733333334,15775550.133333333
swaptions,simlarge,4365489841.266666,2.448666666666667,18786729.466666665,4.579533333333333,410240740.0,37432490426.333336,31121210739.333332,0.8320000000000001,15980.467333333334,137217.73333333334,13868103458.666666,57137547.8,18176786.0
swaptions,simmedium,1387980368.7333333,2.734666666666667,16267128.533333333,10.156533333333334,160171423.46666667,12770104396.4,9194790414.466667,0.72,5468.126,136949.4,4192682293.2,40331891.13333333,15847065.0
swaptions,simsmall,636523068.5333333,3.256666666666667,15793166.6,16.241333333333333,97243952.0,6577335278.333333,3653998007.3333335,0.5566666666666668,2823.8433333333332,136722.0,1754442514.7333333,36128954.0,15294893.466666667
vips,simlarge,4042880859.733333,0.708,38617510.06666667,13.130333333333333,294125521.3333333,30236738779.133335,34936068132.13333,1.1553333333333333,12926.892666666665,161679.26666666666,9629113035.8,53649839.2,37257929.4
vips,simmedium,1704065986.5333333,1.1933333333333331,25916090.6,15.354666666666667,168768473.93333334,14241555898.8,13843583790.866667,0.9713333333333334,6096.039333333333,147128.13333333333,4111287096.9333334,42014153.86666667,24970346.6
vips,simsmall,818031332.6666666,2.018,18836994.933333334,17.819000000000003,105706934.73333333,7622309059.333333,5691608669.333333,0.748,3278.152,141653.0,1994410558.9333334,36754003.13333333,18183477.733333334
x264,simlarge,1232012942.4,5.8533333333333335,35942644.53333333,9.539466666666666,376781359.46666664,17284204879.333332,15203169084.6,0.8806666666666666,7375.740000000001,144792.6,6984674619.666667,116644269.53333333,35192169.86666667
x264,simmedium,651003845.0,5.155333333333333,21219277.8,12.738933333333334,166556377.46666667,8340040811.4,5833038421.866667,0.7,3571.2106666666664,139809.93333333332,2808665904.4666667,59204344.266666666,20705857.133333333
x264,simsmall,434114195.8,4.223333333333334,15636631.0,17.07446666666667,91571695.2,5022554223.4,2546040651.2,0.5093333333333333,2156.9546666666665,139741.26666666666,1256378432.5333333,38110195.2,15278086.933333334
