,Name,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses
120,canneal,simsmall,798875703.0,4.4,36452718.0,22.756,160189455.0,12986871758.0,3695999330.0,0.28,5537.96,154768.0,1883076875.0,49970426.0,35272016.0
121,canneal,simmedium,1300984120.0,4.47,68858023.0,25.644,268518041.0,25571711676.0,5972144040.0,0.23,10871.87,229017.0,3106276196.0,71044427.0,65622730.0
122,canneal,simlarge,2356396081.0,4.55,142264221.0,27.115,524666367.0,51744240915.0,10925000586.0,0.21,22042.13,441887.0,5656243577.0,112431169.0,131468631.0
123,canneal,simsmall,794656713.0,4.51,35074622.0,22.689,154585720.0,12013989311.0,3689369264.0,0.31,5130.38,154640.0,1885941440.0,48910409.0,33475261.0
124,canneal,simmedium,1256027655.0,4.75,65966499.0,25.543,258257893.0,24168699898.0,5889253498.0,0.24,10290.97,198273.0,3043341060.0,66887600.0,63140907.0
125,canneal,simlarge,2292396270.0,4.82,133634038.0,27.286,489753143.0,49113333988.0,10533698283.0,0.21,20932.78,396969.0,5450617276.0,106280040.0,123451025.0
126,canneal,simsmall,790517870.0,4.49,35773708.0,22.532,158766652.0,12949634722.0,3696009798.0,0.29,5548.42,155186.0,1871780345.0,52058309.0,34362244.0
127,canneal,simmedium,1264200305.0,4.59,65002019.0,24.84,261684650.0,24499154479.0,5966816447.0,0.24,10445.1,229858.0,3073378347.0,71325955.0,62022258.0
128,canneal,simlarge,2417441413.0,4.36,131019780.0,26.877,487485601.0,51281888303.0,10924742307.0,0.21,21817.91,422478.0,5651765705.0,100550726.0,120566247.0
129,canneal,simsmall,900178842.0,4.01,35718074.0,23.413,152553674.0,12456165233.0,3892928527.0,0.31,5318.7,154110.0,2019328582.0,48044493.0,34110960.0
130,canneal,simmedium,1310395849.0,4.42,63577978.0,24.196,262762259.0,23654035322.0,6018601129.0,0.25,10071.91,196816.0,3120081596.0,66145802.0,60975644.0
131,canneal,simlarge,2231898713.0,4.76,130130119.0,26.945,482947766.0,46510805567.0,10301017296.0,0.22,19752.81,360917.0,5324747400.0,99586958.0,120238182.0
132,canneal,simsmall,796164682.0,4.61,34899292.0,21.896,159389078.0,12428781657.0,3629503759.0,0.29,5311.1,154067.0,1867536432.0,54365982.0,33752367.0
133,canneal,simmedium,1282401615.0,4.7,63357905.0,24.414,259512740.0,22547889975.0,5824831422.0,0.26,9610.35,181598.0,3034903193.0,66366833.0,59911640.0
134,canneal,simlarge,2204443888.0,4.71,120949456.0,26.789,451493616.0,41448702552.0,10133419478.0,0.24,17597.22,325946.0,5220970410.0,95969575.0,112799643.0
135,facesim,simsmall,2583413613.0,3.34,55352636.0,10.856,509902679.0,31707915297.0,30363236185.0,0.96,13491.76,212276.0,13835012836.0,109800766.0,54780588.0
136,facesim,simmedium,2622850616.0,3.29,54872556.0,10.701,512759244.0,31091276022.0,30702443043.0,0.99,13279.56,205182.0,13949981723.0,109055852.0,52662697.0
137,facesim,simlarge,2610988160.0,3.3,56319263.0,10.893,517013232.0,31943892618.0,30353720981.0,0.95,13609.76,226418.0,13895917184.0,114356474.0,54767074.0
138,facesim,simsmall,2601386475.0,3.38,53230957.0,10.428,510439835.0,30828999910.0,30151308023.0,0.98,13143.08,211944.0,13794604785.0,112037934.0,51637581.0
139,facesim,simmedium,2585611606.0,3.33,54155191.0,10.716,505372750.0,31051702463.0,30260705037.0,0.97,13242.44,208082.0,13813035705.0,108173834.0,52859506.0
140,facesim,simlarge,2597251018.0,3.34,55011536.0,10.902,504621597.0,32388795937.0,30297332387.0,0.94,13783.92,204415.0,13799478140.0,107961071.0,53912434.0
141,facesim,simsmall,2645863595.0,3.26,58205630.0,11.064,526062679.0,32469513744.0,30661680507.0,0.94,13902.18,266933.0,14046798070.0,113866367.0,57026537.0
142,facesim,simmedium,2588189472.0,3.37,51398157.0,9.954,516378740.0,31108418146.0,30044715957.0,0.97,13298.59,203982.0,13718263614.0,109565551.0,51161695.0
143,facesim,simlarge,2611016529.0,3.33,59968820.0,11.537,519779876.0,34293731689.0,30340922326.0,0.88,14616.19,230510.0,13917747607.0,117222541.0,58239729.0
144,facesim,simsmall,2574140981.0,3.34,51553752.0,10.385,496431376.0,31181501018.0,29960744996.0,0.96,13336.18,209562.0,13707655038.0,108489073.0,50899168.0
145,facesim,simmedium,2747698779.0,3.16,54464249.0,10.336,526938881.0,32592991146.0,30549005691.0,0.94,13893.58,264930.0,14043320751.0,118629696.0,52129276.0
146,facesim,simlarge,2669043929.0,3.24,54615764.0,10.628,513870845.0,31344448813.0,30344236868.0,0.97,13380.41,204769.0,13866254564.0,112739245.0,53125711.0
147,facesim,simsmall,2580458364.0,3.33,52195710.0,10.403,501732552.0,34343083913.0,30175414284.0,0.88,14623.68,204094.0,13798569757.0,107877258.0,50622275.0
148,facesim,simmedium,2631346598.0,3.33,53415375.0,10.192,524091066.0,33147502292.0,30513264982.0,0.92,14107.71,280810.0,13934470513.0,116073457.0,52259186.0
149,facesim,simlarge,2627509293.0,3.3,51339548.0,9.957,515600699.0,32402584592.0,30537892087.0,0.94,13795.42,354789.0,13928668513.0,114134573.0,49813106.0
150,facesim,simsmall,2629240610.0,3.31,56135923.0,10.856,517116101.0,32717646050.0,30502856059.0,0.93,13969.54,258715.0,14002405959.0,112817476.0,53898634.0
151,facesim,simmedium,2653387244.0,3.3,52285884.0,9.879,529261704.0,32358653264.0,30466943224.0,0.94,13819.99,356783.0,13946806398.0,113855240.0,50477842.0
152,facesim,simlarge,2621625270.0,3.31,59249873.0,11.325,523187987.0,34177275443.0,30255451565.0,0.89,14589.92,232023.0,13897303634.0,113003450.0,58813224.0
153,facesim,simsmall,2653467539.0,3.26,54680368.0,10.311,530326961.0,32174711374.0,30546762779.0,0.95,13736.05,277386.0,13977945959.0,115994061.0,52588525.0
154,facesim,simmedium,2693537008.0,3.24,57282079.0,10.669,536902503.0,35617991970.0,30826030935.0,0.87,15185.2,345113.0,14122895691.0,117813011.0,56178002.0
155,facesim,simlarge,2652268542.0,3.24,53444804.0,10.051,531710114.0,31343408266.0,30399235570.0,0.97,13366.89,277802.0,13957744085.0,116719977.0,52476489.0
156,facesim,simsmall,2602665191.0,3.35,51385287.0,10.069,510345634.0,31846642936.0,30398571304.0,0.95,13580.55,254776.0,13873812140.0,113190599.0,48679725.0
157,facesim,simmedium,2572294885.0,3.36,49053687.0,9.88,496512976.0,29740385676.0,30082478188.0,1.01,12674.25,204109.0,13713979412.0,108407073.0,46694623.0
158,facesim,simlarge,2633005884.0,3.26,51245863.0,9.817,521986948.0,30278519093.0,30547854832.0,1.01,12879.56,321836.0,13943646303.0,108063198.0,48194570.0
